Twitch ID Number,Twitch Username,DiscordID#,Discord Username,VRSC Address,ETH address,Rental Wallet,Points,Airdrop Amount
186745498,cautionfun_gu,383709367108763649,cautionfun#3236,cautionfun@,0x98c0FE160B049D3436D2C3c26bF454FcfAD2A8c1,,27,0
224715460,bonkthat,315689723043774465,Bonk#5058,bonkthat@,0x5989Cc6bbAc8f8E3afc4143bFE57ba68Ef20F84F,0xA34F5eA1e9DfA7C0Ae80Ce9302F2885CEaF171E5,0,0
512734394,rckmtl,,,RYA5xksz3TvRFS6KpEE6cHmwkYuw1VG3BA,0xa4ad5765f70cb2349bf674271c0fbeb9f4375717,0x5a541E401a7593C3f4257DA3b5Cf1Ab2c05e6366,0,0
563478970,gorboth,,,,0x1b5CE9eB9e18Bf03e3E9035ec9323C896211B538,,0,0
138704427,gandharva_,,,,0xa1cedca95f8c6cf60f56c52e7187508c3c09d198,,0,0
490782196,animokaiman,,,RF6XcB7hHuED1GMk1iUto9VPrudxYuPrkz,0x24a432835B4828f27437deC77977C7b9ca1225F7,,0,0
744205694,otusscopsy,,,,0xDA058F66b94b802857c44259E0493Dd2a21AF494,,0,0
73454830,tugzmcboat,,,RUSacntEDR1nh6pyFPdeHW4KmEXMSMvzJT,0xe95daa52673da55ea26ae4ea83927bf2194d6294,,0,0
54274498,martyzboy,,,,0x15152e253E352fAA363779dBCa81D2270d356116,,0,0
461082163,moosooy,,,,0xb2bF20601210AEF2279e7F2B3029Cd6A6ed60ee4,,0,0
776459082,captainavocado,,,,0xAE4d207dFDE0DA689c6077aC9E5EA45F458818E8,,0,0
61804702,ridsevilla,,,RC4u3gzKfw2BuF8tv2iyUFbyUWMTpaFMAj,0x0fadeE95f0299072034B2D8e54acf58cF7F41bD2,,0,0
558410704,g_rasher,,,,0xd4d8526e3BE098aAe2d99C9B4Ed8d9B7ca471d45,,0,0
786013949,godhandgu,,,RSAmR4uYdEifCRNqLWFHUUk5bufdfEm2bD,0x23E05d5042fEfe0B50dd6aB620fe905FB5beC94C,,0,0
641547625,theprofesserf,,,RURRXLMTb34kQ82srcF2qN4VTLAZsbSrcH,0xf67584e180d8004ae4aadec826363af940a9696e,0xd55ded9126D73c72FEf30CAEEbBc2725B3f86Ef6,0,0
126293167,squidsquidsquidsquid,,,,0x60bee18b17fa940f80D2bFDb02aD90f95BE1DbE3,,0,0
587285856,sigitorious,403408579929047042,saltorious#7801,RQ8FJkr4uroVpdtczFbD3oWJxe8UgA8FsB,0xAB51Bc7aa8636328E91bCC1B6bf701998fD3C581,,0,0
241458825,sirrush424,,,,0xdF3CfD63723CfcE78498d01E20E7c44Dba748F8a,,0,0
114667257,mean_old_zombie,,,RFJiMXEDAZ16MhjXS8DxzUhBjJfATiEAzW,0x200fd0C76171A313726C8e8a180914FC7AEB5759,,0,0
59172024,alien_villager,,,RA1iB9eeq4U7QAJfyvP5VHuur6dg4r1GfH,0x5243029142942d5658DFc9f0bE0282997e5FF6c8,,0,0
605765172,mindstormj,,,,0xF9bF11772894802542B66F4F8109ed69Aa55ba8A,,0,0
154261756,kstreet84,,,,0x3E99E9d452A78ea9d110c8271789278958895bB3,,0,0
